filename,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,spec_contrast_1,spec_contrast_2,spec_contrast_3,spec_contrast_4,spec_contrast_5,spec_contrast_6,spec_contrast_7,zcr,rms
00003_part3.wav,-315.70483,177.79167,-37.631187,25.50481,26.274036,-7.141334,16.145054,-2.5548897,1.8001275,9.292769,-19.958672,-0.9646445,12.715548,0.44017062,0.4378124,0.41776767,0.4252201,0.42837372,0.4583803,0.4797074,0.53035885,0.53412396,0.44367343,0.44404995,0.4546434,17.025157531061577,10.817394116968742,15.654870284714828,15.733990194847898,18.302871976111717,20.69690950571039,33.41515907596442,[0.05479739],[0.07727561]
00003_part4.wav,-415.9386,124.09268,-14.296121,21.006672,22.847775,1.3350009,14.010242,4.154435,7.7157025,11.28885,-8.31348,3.002004,12.043847,0.5211828,0.5483002,0.5763654,0.598512,0.6082335,0.6343262,0.6036502,0.59173626,0.5693641,0.51312065,0.5264304,0.52617234,15.30258995758483,11.17443844267771,13.438451812089413,15.19037463144867,16.686369238035564,19.33791808545516,27.098698005577287,[0.03777609],[0.04974322]
00003_part5.wav,-316.902,184.81493,-37.59787,21.609482,25.350576,-7.7861204,16.784195,-1.1059048,-0.7698427,8.52919,-18.13795,-0.21845388,15.76461,0.3804963,0.39143032,0.38892388,0.38434032,0.4156761,0.4722179,0.48201415,0.488571,0.48221114,0.4363835,0.44283023,0.42712477,17.233194064705685,11.039258203943909,15.384924583592124,16.242525321462786,18.411685874615912,21.33803769367759,32.41413306600255,[0.0508141],[0.08249843]
00003_part6.wav,-297.35904,180.71988,-31.731224,13.73381,18.82608,-10.7190695,11.395916,-1.3938009,1.2830714,9.482735,-18.112736,-2.0293415,16.296162,0.42409292,0.36776632,0.34088734,0.36248094,0.42770806,0.46129915,0.4890256,0.53060955,0.4942572,0.46189556,0.48213965,0.44976488,17.47809558895608,11.238335487864752,15.259604045862584,16.15523254544123,17.990956577537332,22.12630208862706,32.18860557655738,[0.05255368],[0.08949823]
00003_part7.wav,-305.82324,182.95287,-37.498466,19.105375,22.41564,-9.538542,13.361315,-2.3690243,4.3644075,12.325533,-19.275705,-0.06744445,16.555672,0.46313357,0.45548934,0.40260145,0.40022755,0.4453709,0.47055218,0.4830768,0.5494915,0.5590893,0.52169645,0.52204925,0.49289823,17.235689660116886,11.742105872933584,14.92200159256946,16.201743198934924,17.79218720541656,21.835667998892106,32.65484096902514,[0.0517816],[0.08775033]
00003_part8.wav,-359.35028,151.17949,-22.457174,21.516708,20.95381,-5.872643,15.311227,1.2847129,1.349632,10.722663,-11.081954,-0.022633139,11.895485,0.45476085,0.47333437,0.45582473,0.46562234,0.5055335,0.5328847,0.56530905,0.6052162,0.55459225,0.4759222,0.4774064,0.45756397,16.095467328790612,10.82880324865904,14.621358808019139,16.073604602168363,17.393799306217606,19.72042873202545,30.089555446125598,[0.04752699],[0.07022917]
00003_part9.wav,-303.31372,168.073,-38.745655,24.71769,28.754871,-5.8109035,14.998754,-2.5430005,0.8513028,9.369334,-20.988852,-5.50475,12.711131,0.40932637,0.42429084,0.44312784,0.47047973,0.4465473,0.42692563,0.42157325,0.43049252,0.49394754,0.48159745,0.48564556,0.44897628,17.2002783926955,11.427291000710776,16.05624576385764,15.251187236161831,17.77325526994456,21.65068205894264,33.33078414774791,[0.05450454],[0.08717769]
00004_part1.wav,-382.96786,159.74707,-6.3560743,37.90825,22.871267,-1.3538312,6.0904527,-7.4483128,4.124602,-0.18796597,-7.8234653,2.0537214,-9.219619,0.25209972,0.352912,0.43212396,0.4421443,0.47945502,0.55629426,0.55189526,0.49618274,0.4555059,0.38778722,0.30490282,0.23456271,20.44132677702843,11.737485297030055,16.904399434043803,19.26575752506001,19.540937237017285,22.74958234010004,31.954258251660843,[0.06441291],[0.050448]
00004_part10.wav,-388.32944,144.76259,15.704272,26.715193,16.18309,-6.123081,0.86268777,-1.4310818,0.25359973,-0.041723937,-3.9781597,-4.0474,-6.4467597,0.31035852,0.32584915,0.43786123,0.4145664,0.3927814,0.43143317,0.41860586,0.43599558,0.51188123,0.54461825,0.44918764,0.35938844,19.58057011750376,11.338952248135994,16.831847984558614,19.271758843396526,19.674449622588522,22.051305663585858,29.48631353129818,[0.05092173],[0.05100586]
00004_part11.wav,-402.36182,157.90001,8.624232,32.213947,25.155636,-1.3274634,5.742037,-3.559851,-4.4642296,0.22752894,-2.9695606,-3.8224757,-8.4572525,0.2695747,0.29880935,0.41726765,0.4117477,0.41194397,0.47464293,0.49220976,0.5042885,0.5349929,0.5436393,0.41664538,0.31377,20.62754599123728,11.211883350828433,17.32723773081699,18.590879125345058,18.993928371610647,22.23266950220921,28.71645959806596,[0.04600606],[0.04601374]
00004_part12.wav,-396.35092,153.33138,-0.25201005,38.110603,23.960493,-0.7864209,6.3248987,-6.1878276,3.0857491,3.1380825,-4.284634,0.034761824,-10.454061,0.25475577,0.29249352,0.37472472,0.39770314,0.41777244,0.45926237,0.48070896,0.5023924,0.5328235,0.492347,0.38035548,0.29400456,19.93924614812241,12.13479551842262,17.78099370951963,19.045081672136178,19.288191429915514,21.60489784380743,30.762299732153053,[0.04997122],[0.0441722]
00004_part13.wav,-398.84027,142.77292,3.585625,30.326788,19.901432,-0.67231256,6.6362495,-3.2059336,1.3708125,-0.14237498,-5.7817807,-0.21244088,-7.2790737,0.2991186,0.34020227,0.45344353,0.42312893,0.39086205,0.456764,0.53003114,0.5641989,0.5168729,0.489607,0.4175419,0.33049294,19.532440722495156,11.070927407887662,17.95590338587905,17.948887278239987,19.272854890256102,22.344813854789273,30.29786112265739,[0.05438841],[0.04435646]
00004_part14.wav,-389.68686,134.05208,2.6827886,45.318634,18.060104,-0.8992749,11.883421,-8.390875,-0.6643017,-1.2505538,-8.949273,-0.22790366,-7.7764897,0.28324747,0.30635077,0.3966123,0.36308143,0.3624424,0.4275043,0.54005975,0.58839995,0.52520776,0.517068,0.4243288,0.31686643,20.318310577137524,11.497801577558596,17.819670457086165,18.223771664153432,19.071919758895987,22.441826236926083,32.471825041287765,[0.06337234],[0.04898032]
